"lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","InJu2","InChM","InCf2","Hrm_rel","Hrm_oth","v_288","InIrr","InCu","InRsn2","InGut","v_164","v_165","v_166","dupl1_v_215","v_217","v_218","v_266","v_267","v_268","v_269","v_270","v_271","v_272","v_273","v_274","v_275","v_276","v_277","v_278","v_279","v_280","v_281","v_282","v_283","v_284","v_285","v_286","v_219","v_220","v_221","v_222","v_223","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","v_242","v_243","v_244","v_245","v_246","v_247","v_248","v_249","v_250","v_251","v_252","v_253","v_254","v_255","v_256","v_257","v_258","v_259","v_260","v_261","v_262","v_263","v_264","v_265","v_289","v_287","ethics","ethStR","Prv_in","Prv_in_S","v_215","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","condition","NFC_lie","NFC","nfc_order","nfc_pred","nfc_dec","nfc_amb","nfc_clos"
1,0,"no tester","Completed (31)","3444165                     ",NA,775,NA,NA,"Yes","Female",30,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Rules should be followed, even if they are just norms. It keeps our lives civil and orderly.                                                                                                                                                                  ",1,"Incest is wrong.                                                                                                                                                                                                                                              ",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",3,"5",6,"No, I am not able to believe this","Yes, I am able to believe this","Yes","1: Not at all","1: Not at all","5","5","2","Yes","Yes",".10                                                                                                                                                                                                                                                           ","100                                                                                                                                                                                                                                                           ","12                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,2,5,2,5,4,5,2,5,2,3,4,5,4,2,5,4,5,5,5,3,2,5,6,2,3,4,4,3,5,4,3,4,5,3,4,5,3,1,NA,2,5,1,1,3,2,6,"Hockey","9                                                                                                                                                                                                                                                             ","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","AE6M1DPKZKCRB                                                                                                                                                                                                                                                 ","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36                                                                                                                                            ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Texas                                                                                                                                                                                                                                                         ","Orange Grove                                                                                                                                                                                                                                                  ","27.9487                                                                                                                                                                                                                                                       ","-97.9838                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3444117,3444118,3444119,3444120,3444121,3444122,3444123,3444124,3444125,3444126,3444127,3444128,3444129,3444130,3444131,3444132,3444133,3444134,3444135,3444136,3444137,3444138,3444139,3444140,3444141,3444142,3444143,3444145,3444146,3444147,3444148,344414","Flipped","Not flipped","HTML",NA,NA,"851e397528d5bffd2f3f197a9f749fea                                                                                                ","English","Not cleaned","short",11,NA,46,32,NA,34,18
2,0,"no tester","Completed (31)","3444165                     ",NA,634,NA,NA,"Yes","Female",43,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I AM KIND OF A STICK IN THE MUD, AND I THINK IN GENERAL PEOPLE SHOULD FOLLOW RULES AND THE NORMS OF WHAT IS MORALLY RIGHT AND WRONG.                                                                                                                          ",1,"IT IS CONSIDERED INCEST WHICH IS WRONG. I DO NOT KNOW IF IT IS LISTED EXPLICITLY IN THE BIBLE AS WRONG, BUT IT MAY BE. I REALLY CANT HELP ANNE WITH HER REASONS. I KNOW THEY TRIED TO PRACTICE SAFE SEX, BUT THERE IS STILL A CHANGE THE WOMAN MAY GET PREGNAN",3,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","I JUST LISTED MY REASONS FOR YOU. THE BIGGEST REASON, ASIDE FROM MY RELIGIOUS BELIEFS AND WHAT MAY OR MAY NOT BE LISTED IN THE BIBLE, IS THAT THERE IS ALWAYS A CHANCE THAT BIRTH CONTROL IS NOT EFFECTIVE. THERE WOULD BE TERRIBLE RESULTS FOR THE FETUS AND ",1,"1: Not at all",3,"No, I am not able to believe this","No, I am not able to believe this","Yes","4: neutral","1: Not at all","4: neutral","6","4: neutral","Yes","No","10                                                                                                                                                                                                                                                            ","100                                                                                                                                                                                                                                                           ","47                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",4,4,5,5,5,5,6,2,4,4,5,6,5,4,3,5,5,3,5,6,4,2,5,4,4,4,4,5,5,5,5,5,4,5,4,4,4,4,1,4,4,5,3,4,5,1,5,"Hockey","9                                                                                                                                                                                                                                                             ","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","A3DUPRZSMU9W5R                                                                                                                                                                                                                                                ","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.96 Safari/537.36                                                                                                                                             ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Texas                                                                                                                                                                                                                                                         ","McKinney                                                                                                                                                                                                                                                      ","33.1976                                                                                                                                                                                                                                                       ","-96.6153                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3444117,3444118,3444119,3444120,3444121,3444122,3444123,3444124,3444125,3444126,3444127,3444128,3444129,3444130,3444131,3444132,3444133,3444134,3444135,3444136,3444137,3444138,3444139,3444140,3444141,3444142,3444143,3444144,3444145,3444146,3444147,344414","Flipped","Not flipped","HTML",NA,NA,"9dcf30171531f6d6f11118c0c9fed067                                                                                                ","English","Not cleaned","short",10,190,47,36,34,39,34
7,0,"no tester","Completed (31)","3444165                     ",NA,741,NA,NA,"Yes","Male",60,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result."," Moral  defines it as the thing that should be done, regardless of harm that may or not be done.                                                                                                                                                              ",1,"It is forbidden in the Bible.                                                                                                                                                                                                                                 ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It is forbidden by God and the Bible.                                                                                                                                                                                                                         ",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","Yes","1: Not at all","1: Not at all","7: Extremely","1: Not at all","4: neutral","No","No","5                                                                                                                                                                                                                                                             ","5                                                                                                                                                                                                                                                             ","47                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,6,1,1,6,5,4,3,1,1,1,6,6,3,1,4,4,1,3,6,5,1,6,6,5,1,4,6,4,4,1,1,1,5,4,4,4,1,1,6,3,6,1,4,1,1,6,"Hockey","9                                                                                                                                                                                                                                                             ","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","A2WLGVXAVT2XTR                                                                                                                                                                                                                                                ","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.82 Safari/537.36 Vivaldi/2.3.1440.41                                                                                                                                     ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Texas                                                                                                                                                                                                                                                         ","Galveston                                                                                                                                                                                                                                                     ","29.2983                                                                                                                                                                                                                                                       ","-94.793                                                                                                                                                                                                                                                       ",0,"-66                                                                                                                                                                                                                                                           ","3444117,3444118,3444119,3444120,3444121,3444122,3444123,3444124,3444125,3444176,3444126,3444127,3444128,3444129,3444130,3444131,3444132,3444133,3444134,3444135,3444136,3444137,3444138,3444139,3444140,3444141,3444142,3444143,3444144,3444145,3444146,344414","Flipped","Flipped","HTML",NA,NA,"6757676de688d6d8bf13d0b6c8eada61                                                                                                ","English","Not cleaned","short",5,155,48,26,35,18,28
10,0,"no tester","Completed (31)","3444165                     ",NA,810,NA,NA,"Yes","Female",30,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",6,"nobody was hurt, consenting adults                                                                                                                                                                                                                            ",7,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",7,"1: Not at all",7,"Yes, I am able to believe this","Yes, I am able to believe this","Yes","1: Not at all","1: Not at all","6","1: Not at all","3","No","No","10                                                                                                                                                                                                                                                            ","100                                                                                                                                                                                                                                                           ","47                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",4,1,4,2,3,5,3,1,5,3,4,3,3,4,3,3,4,3,3,4,4,2,3,4,3,2,4,5,2,4,3,3,4,4,3,4,4,4,1,4,3,6,1,1,4,2,3,"Soccer","9                                                                                                                                                                                                                                                             ","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","A2YVC1U50H2B4R                                                                                                                                                                                                                                                ","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.96 Safari/537.36                                                                                                                                            ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Virginia                                                                                                                                                                                                                                                      ","-99                                                                                                                                                                                                                                                           ","37.4638                                                                                                                                                                                                                                                       ","-77.398                                                                                                                                                                                                                                                       ",0,"-66                                                                                                                                                                                                                                                           ","3444117,3444118,3444119,3444120,3444121,3444122,3444123,3444125,3444187,3444126,3444127,3444128,3444129,3444130,3444131,3444132,3444133,3444134,3444135,3444136,3444137,3444138,3444139,3444140,3444141,3444142,3444143,3444145,3444146,3444147,3444148,344415","Not flipped","Flipped","HTML",NA,NA,"53a29184b52980503d2204aeccd8f489                                                                                                ","English","Not cleaned","short",9,143,40,24,24,36,19
20,0,"no tester","Completed (31)","3444165                     ",NA,488,NA,NA,"Yes","Female",36,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"It is against the law and could hurt a baby if they were to get pregnant.                                                                                                                                                                                     ",7,"No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","they could have a baby that will have disabilities.                                                                                                                                                                                                           ",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","Yes","7: Extremely Irritated","1: Not at all","7: Extremely","4: neutral","3","No","No",".10                                                                                                                                                                                                                                                           ","100                                                                                                                                                                                                                                                           ","24                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",4,2,2,2,5,4,5,3,1,1,5,6,6,5,2,6,5,1,6,6,5,1,6,5,3,4,5,2,3,3,5,5,5,5,4,2,4,3,1,6,2,4,2,1,4,1,6,"Hockey","9                                                                                                                                                                                                                                                             ","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","A2SF0TUK6XTPCO                                                                                                                                                                                                                                                ","Mozilla/5.0 (X11; CrOS armv7l 11151.113.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.127 Safari/537.36                                                                                                                                          ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Massachusetts                                                                                                                                                                                                                                                 ","Taunton                                                                                                                                                                                                                                                       ","41.905                                                                                                                                                                                                                                                        ","-71.1026                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3444117,3444118,3444119,3444120,3444121,3444122,3444123,3444125,3444289,3444311,3444126,3444127,3444128,3444129,3444130,3444131,3444132,3444133,3444134,3444135,3444136,3444137,3444138,3444139,3444140,3444141,3444142,3444143,3444144,3444145,3444146,344414","Not flipped","Not flipped","HTML",NA,NA,"64ee0e7db4ea137c995e52c26c6fda3d                                                                                                ","English","Not cleaned","short",6,168,45,35,40,32,16
21,0,"no tester","Completed (31)","3444165                     ",NA,757,NA,NA,"Yes","Female",33,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",4,"she know is wrong but dont want to judge a persons decision either                                                                                                                                                                                            ",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","Yes","7: Extremely Irritated","1: Not at all","6","7: Extremely","4: neutral","No","No","10                                                                                                                                                                                                                                                            ","100                                                                                                                                                                                                                                                           ","48                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,1,6,3,1,6,3,5,2,1,4,6,6,NA,2,6,5,1,3,6,6,1,6,6,NA,2,NA,4,2,3,4,3,6,6,5,3,5,6,1,4,3,6,1,3,3,1,6,"Hockey","9                                                                                                                                                                                                                                                             ","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","A3MXB565FGCTSC                                                                                                                                                                                                                                                ","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36                                                                                                                                            ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Texas                                                                                                                                                                                                                                                         ","San Antonio                                                                                                                                                                                                                                                   ","29.4599                                                                                                                                                                                                                                                       ","-98.7479                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3444117,3444118,3444119,3444120,3444121,3444122,3444123,3444125,3444289,3444190,3444126,3444127,3444128,3444129,3444130,3444131,3444132,3444133,3444134,3444135,3444136,3444137,3444138,3444139,3444140,3444141,3444142,3444143,3444145,3444146,3444147,344414","Flipped","Not flipped","HTML",NA,NA,"9cf4528e762fe7b0ec42133dbeca7911                                                                                                ","English","Not cleaned","short",5,NA,53,NA,NA,41,NA
22,0,"no tester","Completed (31)","3444165                     ",NA,1361,NA,NA,"Yes","Male",34,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",2,"The people in question were brother and sister                                                                                                                                                                                                                ",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Unsure","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",2,"5",5,"Yes, I am able to believe this","Yes, I am able to believe this","Yes","2","2","5","7: Extremely","6","No","No","0.05                                                                                                                                                                                                                                                          ","5                                                                                                                                                                                                                                                             ","47                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",4,1,2,2,3,5,3,4,5,2,2,2,4,6,2,1,5,1,5,2,5,1,5,1,2,2,5,2,3,6,2,2,6,5,4,5,1,2,1,5,2,3,5,5,6,1,2,"Hockey","9                                                                                                                                                                                                                                                             ","Yes","Course in ethics for Professional Engineer                                                                                                                                                                                                                    ","No","-99                                                                                                                                                                                                                                                           ","A3IXTG6YDJDG9                                                                                                                                                                                                                                                 ","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36                                                                                                                                                         ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","Canada","Ontario                                                                                                                                                                                                                                                       ","-99                                                                                                                                                                                                                                                           ","43.6667                                                                                                                                                                                                                                                       ","-79.4167                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3444117,3444118,3444119,3444120,3444121,3444122,3444123,3444125,3444289,3444311,3444176,3444190,3444126,3444127,3444128,3444129,3444130,3444131,3444132,3444133,3444134,3444135,3444135,3444136,3444137,3444138,3444139,3444140,3444141,3444142,3444143,344414","Flipped","Not flipped","HTML",NA,NA,"d3b6b7c8e8e08a2e4e334f945006e121                                                                                                ","English","Not cleaned","short",9,141,28,34,28,29,22
26,0,"no tester","Completed (31)","3444165                     ",NA,427,NA,NA,"Yes","Male",28,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",5,"they used a condom and kept it a secret so it didn't really hurt anyone                                                                                                                                                                                       ",5,"Yes","No","Unsure","Yes","No","Unsure","Yes","No","Unsure","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",5,"1: Not at all",5,"Yes, I am able to believe this","Yes, I am able to believe this","Yes","2","2","2","4: neutral","6","No","No","5                                                                                                                                                                                                                                                             ","5                                                                                                                                                                                                                                                             ","47                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",1,3,2,2,2,1,2,1,2,2,2,6,5,4,2,5,5,2,3,5,5,2,6,1,3,2,2,2,4,2,2,2,4,1,1,3,2,2,1,5,3,5,2,2,2,2,3,"Hockey","9                                                                                                                                                                                                                                                             ","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","A2XFO0X6RCS98M                                                                                                                                                                                                                                                ","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Turkernator/0.7.3 Chrome/66.0.3359.181 Electron/3.0.0 Safari/537.36                                                                                                          ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Michigan                                                                                                                                                                                                                                                      ","Clio                                                                                                                                                                                                                                                          ","43.1779                                                                                                                                                                                                                                                       ","-83.7249                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3444117,3444118,3444119,3444120,3444121,3444122,3444123,3444125,3444311,3444126,3444127,3444128,3444129,3444130,3444131,3444132,3444133,3444134,3444135,3444136,3444137,3444138,3444139,3444140,3444141,3444142,3444143,3444145,3444146,3444147,3444148,344414","Not flipped","Not flipped","HTML",NA,NA,"ca09b398acd8af7ec9c5f08fc629fd8c                                                                                                ","English","Not cleaned","short",9,119,19,16,36,26,22
