"lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","v_291","v_296","InJu2","InChM","InCf2","v_288","InIrr","InCu","InRsn2","InGut","v_164","v_165","v_166","dupl1_v_215","v_217","v_218","v_266","v_267","v_268","v_269","v_270","v_271","v_272","v_273","v_274","v_275","v_276","v_277","v_278","v_279","v_280","v_281","v_282","v_283","v_284","v_285","v_286","v_219","v_220","v_221","v_222","v_223","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","v_242","v_243","v_244","v_245","v_246","v_247","v_248","v_249","v_250","v_251","v_252","v_253","v_254","v_255","v_256","v_257","v_258","v_259","v_260","v_261","v_262","v_263","v_264","v_265","v_287","v_289","ethics","ethStR","Prv_in","Prv_in_S","v_215","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","condition","NFC_lie","NFC","nfc_order","nfc_pred","nfc_dec","nfc_amb","nfc_clos","InCS_ju","InCS_rsn"
1,0,"no tester","Completed (31)","3483894                     ",NA,952,NA,NA,"Yes","Male",27,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I feel as though violating anything just for fun and amusement is a total wrong thing to do and I do not condone it.                                                                                                                                          ",1,"I just feel as though it is completely wrong to do that.                                                                                                                                                                                                      ",7,"Yes","Yes","No, I have no reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Scale option 7","Scale option 1",1,"1: Not at all",7,"Yes","7: Extremely Irritated","1: Not at all","7: Extremely","4: neutral","1: Morally wrong","No","No",".10                                                                                                                                                                                                                                                           ","100                                                                                                                                                                                                                                                           ","24                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,2,5,5,5,5,2,2,5,5,2,2,2,5,2,2,5,5,2,2,1,5,2,2,2,2,5,2,3,2,2,5,5,4,4,5,5,5,2,2,2,5,2,5,5,5,5,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","A2W5RJFHZRE8IS                                                                                                                                                                                                                                                ","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.119 Safari/537.36                                                                                                                                     ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Florida                                                                                                                                                                                                                                                       ","Miami                                                                                                                                                                                                                                                         ","25.5972                                                                                                                                                                                                                                                       ","-80.4048                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483852,3483887,3483886,3483888,3483885,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,3483872,348387","Not flipped","Flipped","HTML",NA,NA,"ad59b5a0719cb8202777655d95382e83                                                                                                ","English","Not cleaned",1551984875,"2019-03-07 18:54:35           ","short",19,145,36,25,20,35,29,7,1
3,0,"no tester","Completed (31)","3483894                     ",NA,1760,NA,NA,"Yes","Female",28,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I feel that doing something out of the norm is not good no matter if you hurt someone or not.                                                                                                                                                                 ",5,"Because it something that is important to her                                                                                                                                                                                                                 ",6,"Yes","Yes","Unsure","Yes","No","Unsure","No","No","No, I have no reason","_duplicated_4","Scale option 5",5,"4: neutral",5,"Yes","5","4: neutral","5","5","5","No","No","0.05                                                                                                                                                                                                                                                          ","25                                                                                                                                                                                                                                                            ","47                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,3,5,5,3,5,2,6,2,4,4,2,2,4,3,3,4,5,2,3,2,4,3,5,4,5,5,2,4,5,5,4,3,3,3,2,4,2,4,3,3,5,4,5,4,4,3,"11                                                                                                                                                                                                                                                            ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","A1KAIOBTXQ77A6                                                                                                                                                                                                                                                ","Mozilla/5.0 (X11; CrOS x86_64 11151.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.94 Safari/537.36                                                                                                                                            ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Texas                                                                                                                                                                                                                                                         ","Wichita Falls                                                                                                                                                                                                                                                 ","33.8633                                                                                                                                                                                                                                                       ","-98.534                                                                                                                                                                                                                                                       ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483852,3483886,3483888,3483884,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,3483872,348387","Flipped","Not flipped","HTML",NA,NA,"4e30e67d00590e10de9e227cb2f8176f                                                                                                ","English","Not cleaned",1551984888,"2019-03-07 18:54:48           ","short",21,151,37,32,21,31,30,4,5
5,0,"no tester","Completed (31)","3483894                     ",NA,729,NA,NA,"Yes","Female",36,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"Eating another human is wrong and gross and immoral. Stealing the meat is also wrong.                                                                                                                                                                         ",6,"Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Unsure","Scale option 7","Scale option 5",1,"1: Not at all",5,"Yes","6","3","3","7: Extremely","4: neutral","Yes","Yes",".05                                                                                                                                                                                                                                                           ","5                                                                                                                                                                                                                                                             ","47                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,3,4,4,3,5,4,4,4,4,4,4,4,3,3,3,3,3,4,5,2,2,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,3,3,4,2,4,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","A3AZWYP6HBVNRU                                                                                                                                                                                                                                                ","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.119 Safari/537.36                                                                                                                                            ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","West Virginia                                                                                                                                                                                                                                                 ","Morgantown                                                                                                                                                                                                                                                    ","39.6505                                                                                                                                                                                                                                                       ","-79.944                                                                                                                                                                                                                                                       ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483852,3483884,3483886,3483885,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,3483872,3483873,3483874,348387","Flipped","Flipped","HTML",NA,NA,"a0e4991185c240545d170a85cc3ca026                                                                                                ","English","Not cleaned",1551984901,"2019-03-07 18:55:01           ","short",12,160,43,31,25,32,29,7,5
7,0,"no tester","Completed (31)","3483894                     ",NA,538,NA,NA,"Yes","Female",31,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I sided with this one because I am one that thinks it good to follow norms, so violating for any reason is bad.                                                                                                                                               ",1,"She ate someone.                                                                                                                                                                                                                                              ",7,"Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Scale option 7","Scale option 1",1,"1: Not at all",7,"Yes","4: neutral","1: Not at all","4: neutral","7: Extremely","1: Morally wrong","Yes","Yes","5                                                                                                                                                                                                                                                             ","5                                                                                                                                                                                                                                                             ","47                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",6,6,6,5,6,6,6,5,5,5,6,6,6,5,4,6,6,5,6,4,3,2,5,4,2,5,5,1,6,5,5,5,5,4,4,4,6,5,1,5,5,6,1,3,6,4,6,"9                                                                                                                                                                                                                                                             ","Hockey","Yes","PHILOSOPHY 101                                                                                                                                                                                                                                                ","No","-99                                                                                                                                                                                                                                                           ","ARLGZWN6W91WD                                                                                                                                                                                                                                                 ","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0                                                                                                                                                                                ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Texas                                                                                                                                                                                                                                                         ","Keller                                                                                                                                                                                                                                                        ","32.9321                                                                                                                                                                                                                                                       ","-97.2834                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483852,3483886,3483886,3483886,3483884,3483887,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,348387","Not flipped","Not flipped","HTML",NA,NA,"db32cc91d78f3bdaf0c27e25e47ac68d                                                                                                ","English","Not cleaned",1551984909,"2019-03-07 18:55:09           ","short",13,210,47,44,39,44,36,7,1
8,0,"no tester","Completed (31)","3483894                     ",NA,941,NA,NA,"Yes","Female",35,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Everyone is born with morals.  You shouldn't burn down a building even if nobody gets hurt.  IT S STILL WRONG!!                                                                                                                                               ",1,"Ummmm.....It's morally wrong to eat another human!  No matter how they died, whether their body went to a good cause or whether the meat (gross) wasn't diseased.                                                                                             ",5,"Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","No, I have no reason","Scale option 7","_duplicated_7",1,"2",1,"Yes","1: Not at all","1: Not at all","3","5","7: Morally acceptable","No","No","10                                                                                                                                                                                                                                                            ","100                                                                                                                                                                                                                                                           ","24                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",6,1,4,2,3,6,5,4,4,2,3,6,6,1,4,6,5,3,6,6,5,1,6,4,1,3,5,3,2,2,5,3,1,4,4,2,2,3,1,3,2,6,1,1,2,1,6,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","A168UD5L4AYS3P                                                                                                                                                                                                                                                ","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36                                                                                                                                           ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Florida                                                                                                                                                                                                                                                       ","West Palm Beach                                                                                                                                                                                                                                               ","26.6396                                                                                                                                                                                                                                                       ","-80.0827                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483852,3483887,3483886,3483853,3483854,3483855,3483856,3483857,3483858,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,3483872,3483873,348387","Not flipped","Not flipped","HTML",NA,NA,"083e5ac5bef03cf8f1944edad9cd0df6                                                                                                ","English","Not cleaned",1551984916,"2019-03-07 18:55:16           ","short",7,155,44,30,33,35,13,7,7
12,0,"no tester","Completed (31)","3483894                     ",NA,970,NA,NA,"Yes","Male",30,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","You wouldn't throw bricks off of a freeway, make a mess in a restroom, or even make a mess in a graveyard.  These actions are wrong even though no one is hurt because it cost people money, takes up their time, or is disrespectful just to name a few probl",1,"It's meant for learning purposes, not for food.  Also, I'm certain it's strict guidelines and policy in place that prohibits what she did.  Even if someone thinks what she did was okay, they have to take into consideration the considerable amount of risk",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Scale option 7","Scale option 1",1,"1: Not at all",7,"Yes","7: Extremely Irritated","1: Not at all","7: Extremely","4: neutral","4: neutral","No","No","10                                                                                                                                                                                                                                                            ","100                                                                                                                                                                                                                                                           ","47                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,3,5,5,5,4,3,5,4,3,4,5,2,5,5,2,3,1,5,2,4,1,4,4,3,2,5,4,3,4,4,5,4,3,3,4,4,4,2,3,3,4,3,3,4,3,4,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","A3T0UO1ZMWNYUR                                                                                                                                                                                                                                                ","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:60.0) Gecko/20100101 Firefox/60.0                                                                                                                                                                                     ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Ohio                                                                                                                                                                                                                                                          ","West Chester                                                                                                                                                                                                                                                  ","39.3434                                                                                                                                                                                                                                                       ","-84.4009                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483852,3483886,3483887,3483888,3483884,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,3483872,348387","Flipped","Flipped","HTML",NA,NA,"6c933b9e20f21a0f9aa022e36afadc92                                                                                                ","English","Not cleaned",1551984975,"2019-03-07 18:56:15           ","short",10,160,37,33,24,39,27,7,1
13,0,"no tester","Completed (31)","3483894                     ",NA,950,NA,NA,"Yes","Female",31,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","that person must be fined, for having violated the law, I hope and everything is fair                                                                                                                                                                         ",6,"i am person very friends                                                                                                                                                                                                                                      ",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","_duplicated_6","Scale option 5",5,"7: Extremely",6,"Yes","6","5","6","6","6","No","No","0.05                                                                                                                                                                                                                                                          ","100                                                                                                                                                                                                                                                           ","24                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,2,5,5,1,6,1,6,5,5,5,2,1,6,6,1,5,5,2,1,5,6,1,5,2,5,5,2,2,6,6,6,6,4,4,2,6,6,6,1,2,5,5,6,6,6,1,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","A3BZDHVIB7OYB2                                                                                                                                                                                                                                                ","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36                                                                                                                                                        ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","South America","Ecuador","Provincia del Guayas                                                                                                                                                                                                                                          ","Guayaquil                                                                                                                                                                                                                                                     ","-2.1664                                                                                                                                                                                                                                                       ","-79.9011                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483852,3483886,3483853,3483854,3483855,3483856,3483857,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,3483869,3483869,3483872,348387","Flipped","Not flipped","HTML",NA,NA,"204e7ef84a1b4ac7bd829e9d6adfffa0                                                                                                ","English","Not cleaned",1551985050,"2019-03-07 18:57:30           ","short",28,164,39,32,17,50,26,6,5
14,0,"no tester","Completed (31)","3483894                     ",NA,791,NA,NA,"Yes","Male",39,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Most norms exist to keep some social order. Also just because someone isn't hurt doesn't mean the potential for injury doesn't exist.                                                                                                                         ",1,"It sounds deranged!?!                                                                                                                                                                                                                                         ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Scale option 7","Scale option 1",1,"1: Not at all",7,"Yes","6","7: Extremely confused","7: Extremely","7: Extremely","7: Morally acceptable","No","No","1.05                                                                                                                                                                                                                                                          ","5                                                                                                                                                                                                                                                             ","47                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,3,5,3,4,5,3,4,5,3,4,4,5,4,3,4,4,1,5,2,3,1,5,3,3,4,4,5,4,4,5,4,5,4,4,3,4,3,2,5,3,5,3,3,5,1,5,"9                                                                                                                                                                                                                                                             ","Hockey","Yes","I've taken several college classes in police and criminal justice ethics.                                                                                                                                                                                     ","No","-99                                                                                                                                                                                                                                                           ","A3C5NNNR08OMZG                                                                                                                                                                                                                                                ","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36                                                                                                                                             ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Maryland                                                                                                                                                                                                                                                      ","Catonsville                                                                                                                                                                                                                                                   ","39.2812                                                                                                                                                                                                                                                       ","-76.7406                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483852,3483884,3483888,3483886,3483887,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,3483872,348387","Not flipped","Flipped","HTML",NA,NA,"a0186230146fe05f52f665788e0ab889                                                                                                ","English","Not cleaned",1551985090,"2019-03-07 18:58:10           ","short",8,168,41,33,31,38,25,7,1
